用例编号,所属产品,所属模块,相关需求,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),查看页面显示内容布局排版,"1.已登录系统级账号
2.已进入产品推荐页面","1. 查看页面显示内容
2. 查看页面布局排版","1.显示文案正确，完整
2.布局排版合理（参照UI设计图）",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),搜索--类型,"1.已登录系统级账号
2.已进入产品推荐页面","1.点击类型选择框
2.选择任意类型","1.droplist展示所有类型
2.列出所有该类型的推荐产品列表",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),搜索--推荐类型,"1.已登录系统级账号
2.已进入产品推荐页面","1.点击推荐类型选择框
2.选择任意推荐类型","1.droplist展示所有推荐类型
2.列出所有该类型的推荐产品列表",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),搜索--适用城市,"1.已登录系统级账号
2.已进入产品推荐页面","1.点击适用城市选择框
2.选择任意城市","1.droplist展示所有城市
2.列出所有该类型的推荐产品列表",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),搜索--快速搜索/产品名称,"1.已登录系统级账号
2.已进入产品推荐页面",1.输入产品名称，点击搜索,1.搜索出符合条件产品列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),搜索--快速搜索/拼音码,"1.已登录系统级账号
2.已进入产品推荐页面",1.输入产品拼音码，点击搜索,1.搜索出符合条件产品列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),刷新,"1.已登录系统级账号
2.已进入产品推荐页面","1.选择类型、推荐类型，输入适用城市、产品名称/拼音码，搜索
2.点击刷新按钮","1.搜索出符合条件产品列表
2.页面刷新，重置筛选条件，获取所有产品",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),预览,"1.已登录系统级账号
2.已进入产品推荐页面
3.已有产品",1.点击产品列表内预览,1.新开窗显示产品详情页面（对应环境）,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),日志--已选中产品,"1.已登录系统级账号
2.已进入产品推荐页面
3.已有产品","1.点击产品
2.点击日志按钮","1.选中产品，底色加深
2.显示该产品对应日志信息",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】产品推荐：产品推荐至首页展示功能(#596),日志--未选中产品,"1.已登录系统级账号
2.已进入产品推荐页面
3.已有产品",1.未选中产品直接点击日志按钮,1.提示用户先选中产品,3,功能测试,功能测试阶段
